date time lon lat dep Mb Ms strike1 dip1 rake1 strike2 dip2 rake2  mrr mtt mpp mrt mrp mtp p_trend p_plu p_eigen b_trend b_plu b_eigen t_trend t_plu t_eigen scale exponent event_name 
2014/01/01 00:01:16.6 120.24 19.09 10.1 0.0 5.1 77 47 -62 219 50 -117 -4.360 3.200 1.170 -0.794 1.650 2.060 328 1 4.486 237 20 0.561 61 70 -5.037 4.762 23 C201401010001A 
2014/01/01 04:46:28.1 -15.46 -44.65 10.1 0.0 4.7 316 44 -105 157 48 -76 -4.480 1.440 3.040 0.603 0.722 -1.870 237 2 4.282 327 10 0.373 137 79 -4.655 4.469 23 C201401010446A 
2014/01/01 11:08:09.9 -82.03 -44.46 10.0 0.0 4.6 335 46 -113 186 49 -68 -2.460 0.207 2.250 0.793 0.267 -0.363 261 2 2.316 351 16 0.384 165 74 -2.703 2.510 23 C201401011108A 
2014/01/01 14:23:03.6 -179.01 -35.30 54.5 0.0 4.9 190 36 -84 3 54 -94 -2.270 0.058 2.210 0.079 -0.737 0.246 96 9 2.351 5 4 0.041 253 80 -2.394 2.373 23 C201401011423A 
2014/01/01 16:03:29.0 167.25 -13.86 187.0 0.0 6.5 181 47 114 328 48 67 0.745 -0.036 -0.709 -0.242 -0.048 0.208 166 73 0.821 344 17 -0.053 74 1 -0.768 0.795 26 C201401011603A 
2014/01/02 03:13:54.6 54.45 27.15 8.0 0.0 5.2 329 54 141 85 59 43 0.700 -0.883 0.183 0.260 0.289 0.712 300 51 1.006 113 39 0.239 206 3 -1.245 1.125 24 C201401020313A 
2014/01/02 13:11:05.3 140.51 35.26 28.9 0.0 4.8 252 28 111 49 64 79 3.150 -2.470 -0.676 1.650 1.880 -1.470 297 69 4.081 54 10 0.006 147 18 -4.082 4.081 23 C201401021311A 
2014/01/02 19:02:24.6 120.22 19.16 15.1 0.0 5.0 36 38 -76 199 53 -101 -1.870 0.488 1.380 -0.057 0.600 0.664 296 8 1.804 205 9 0.184 69 78 -1.990 1.897 23 C201401021902A 
2014/01/02 19:30:54.0 120.18 19.27 14.1 0.0 5.3 47 38 -63 195 56 -109 -3.540 1.040 2.510 -0.474 1.640 1.530 299 10 3.664 206 16 0.446 58 71 -4.099 3.881 23 C201401021930A 
2014/01/02 23:53:56.0 -97.96 16.08 1.0 0.0 4.8 120 48 116 264 48 64 2.090 -2.130 0.038 -0.189 -0.737 0.485 103 71 2.352 282 19 -0.120 12 0 -2.234 2.293 23 C201401022354A 
2014/01/03 03:06:23.4 -105.94 18.05 10.0 0.0 4.2 275 48 -176 182 87 -42 -0.320 -0.198 0.519 -0.307 1.200 -1.360 236 26 2.115 359 48 -0.571 130 31 -1.543 1.829 23 C201401030306A 
2014/01/03 10:24:33.2 120.17 19.15 10.0 0.0 5.1 40 34 -78 206 57 -98 -2.080 0.743 1.340 0.180 0.837 0.731 302 11 1.989 211 7 0.288 91 77 -2.274 2.131 23 C201401031024A 
2014/01/03 20:34:04.0 155.98 -7.10 59.2 0.0 5.2 262 39 8 166 85 128 0.902 -1.330 0.432 1.930 -4.300 3.920 109 38 5.328 342 38 1.543 225 30 -6.867 6.098 23 C201401032034A 
2014/01/03 23:24:16.0 -114.75 -27.25 10.0 0.0 4.9 158 79 -3 249 87 -169 -0.292 1.530 -1.240 0.336 0.146 -1.480 23 6 2.197 262 79 -0.273 114 9 -1.926 2.062 23 C201401032324A 
2014/01/04 00:11:48.0 -70.79 -20.69 26.1 0.0 5.7 352 24 88 174 66 91 3.570 0.198 -3.770 0.339 -3.290 0.519 85 69 4.833 353 1 0.264 263 21 -5.098 4.965 24 C201401040011A 
2014/01/04 02:04:43.2 -13.61 -45.98 10.0 0.0 4.6 155 43 -60 296 54 -115 -5.400 2.550 2.850 2.420 1.040 -2.440 44 5 5.231 312 20 1.161 149 69 -6.392 5.811 23 C201401040204A 
2014/01/04 02:58:44.5 163.73 -10.90 3.6 0.0 5.3 251 56 -7 345 84 -146 -0.170 -0.590 0.760 0.338 -0.750 1.020 113 19 1.477 354 55 0.009 214 28 -1.486 1.481 24 C201401040258A 
2014/01/04 05:23:00.3 143.38 36.97 22.0 0.0 5.5 20 42 -93 204 48 -87 -1.540 0.248 1.290 0.119 0.119 0.505 292 3 1.502 22 2 0.046 151 86 -1.551 1.527 24 C201401040522A 
2014/01/04 12:37:59.9 -101.93 1.81 10.0 0.0 4.6 39 72 -9 131 81 -161 -0.478 -2.060 2.540 -0.668 0.297 -0.425 264 7 2.621 155 69 -0.296 356 19 -2.323 2.472 23 C201401041238A 
2014/01/04 16:10:19.6 153.08 47.29 66.9 0.0 4.9 221 34 94 36 56 87 1.610 -0.590 -1.020 0.379 0.579 -0.929 297 79 1.748 38 2 0.146 128 11 -1.894 1.821 23 C201401041610A 
2014/01/04 19:34:25.6 129.53 56.75 1.0 0.0 5.3 285 79 -4 16 86 -168 -0.374 0.883 -0.509 -0.069 -0.225 1.170 150 5 1.564 36 78 -0.357 241 11 -1.206 1.385 24 C201401041934A 
2014/01/04 21:43:36.0 -110.75 -13.75 10.0 0.0 5.3 279 80 0 189 90 170 -1.260 2.890 -1.630 -0.590 -1.270 6.990 144 7 8.136 8 80 -1.335 235 7 -6.801 7.469 23 C201401042143A 
2014/01/05 03:36:40.6 -76.64 4.56 53.9 0.0 5.5 288 27 -13 30 84 -117 -0.465 1.060 -0.595 -0.800 -1.840 0.576 143 34 2.171 33 27 0.206 274 45 -2.377 2.274 24 C201401050336A 
2014/01/05 10:56:13.6 -35.21 53.72 12.7 0.0 4.7 193 46 -69 344 48 -111 -2.880 0.332 2.540 0.946 -0.072 -0.056 88 1 2.543 358 15 0.587 182 75 -3.138 2.841 23 C201401051056A 
2014/01/05 11:44:11.5 128.36 3.20 55.2 0.0 5.1 267 46 19 164 76 135 1.030 -1.180 0.147 0.135 -1.970 2.120 115 41 3.029 331 43 0.141 222 19 -3.173 3.101 23 C201401051144A 
2014/01/05 21:29:33.4 128.43 -6.99 39.0 0.0 5.3 127 41 120 270 55 67 0.758 -0.910 0.153 -0.293 -0.127 0.376 127 69 0.863 284 19 0.200 16 8 -1.062 0.963 24 C201401052129A 
2014/01/06 01:25:07.9 172.61 -20.55 15.5 0.0 5.4 67 55 -40 183 58 -137 -0.851 0.022 0.828 -0.264 0.286 1.030 304 2 1.534 212 39 -0.379 37 51 -1.156 1.345 24 C201401060125A 
2014/01/06 03:59:02.0 -70.65 -20.77 26.6 0.0 5.1 356 22 93 173 69 89 4.550 0.363 -4.910 0.705 -5.050 0.537 80 66 6.769 173 1 0.413 264 23 -7.179 6.974 23 C201401060359A 
2014/01/06 16:02:11.3 -23.60 -1.12 10.0 0.0 5.1 80 81 173 171 83 9 -0.439 2.670 -2.230 1.320 -1.100 -7.120 36 11 8.094 210 79 -0.781 305 1 -7.312 7.703 23 C201401061602A 
2014/01/06 17:00:58.2 52.21 -37.29 10.0 0.0 5.0 76 45 -75 236 47 -104 -3.460 2.970 0.484 -0.110 0.641 1.350 336 1 3.566 246 10 0.007 73 80 -3.578 3.572 23 C201401061701A 
2014/01/06 18:49:40.8 122.77 25.43 235.3 0.0 5.1 323 27 170 62 85 63 0.624 -2.390 1.770 3.680 1.900 0.727 306 43 4.530 64 27 0.367 175 35 -4.893 4.711 23 C201401061849A 
2014/01/07 03:43:23.0 -69.73 -20.99 97.3 0.0 5.3 196 18 -83 9 73 -92 -0.702 -0.125 0.827 -0.169 -1.110 0.210 101 27 1.455 10 2 -0.167 276 62 -1.288 1.371 24 C201401070343A 
2014/01/07 06:07:56.4 -160.08 54.81 39.8 0.0 5.2 237 26 86 62 64 92 0.729 -0.554 -0.175 0.522 0.262 -0.338 336 71 0.932 241 2 0.022 150 19 -0.954 0.943 24 C201401070607A 
2014/01/07 10:39:17.2 -172.47 -17.43 10.0 0.0 4.8 171 38 54 34 60 115 2.420 0.849 -3.270 1.050 1.040 -1.140 349 66 2.978 201 21 0.848 106 12 -3.827 3.403 23 C201401071039A 
2014/01/07 11:26:33.5 9.86 -52.91 10.0 0.0 4.8 47 51 -170 311 82 -40 -0.611 2.500 -1.890 1.230 -1.150 -0.023 5 20 2.962 121 50 -0.320 261 33 -2.644 2.803 23 C201401071126A 
2014/01/07 12:06:09.6 -79.24 -44.42 10.0 0.0 5.0 256 81 176 347 86 9 -0.153 3.070 -2.920 -0.734 0.941 -5.760 212 9 6.748 8 80 -0.305 121 4 -6.446 6.597 23 C201401071206A 
2014/01/07 13:15:13.0 172.44 -20.45 41.4 0.0 4.9 83 79 -3 174 87 -169 -1.340 -0.153 1.490 0.134 0.602 3.460 308 6 4.280 189 79 -1.349 39 10 -2.934 3.607 23 C201401071315A 
2014/01/07 16:52:31.3 -176.62 -21.91 160.5 0.0 5.1 345 11 54 201 81 97 2.140 0.544 -2.690 -2.560 -6.560 -0.292 119 54 7.286 20 6 0.340 285 36 -7.632 7.459 23 C201401071652A 
2014/01/07 23:02:53.4 -106.07 -4.53 10.0 0.0 5.7 100 86 -2 190 88 -176 -0.297 1.740 -1.440 -0.115 0.304 4.440 325 1 4.867 223 86 -0.275 55 4 -4.589 4.728 24 C201401072302A 
2014/01/07 23:09:05.6 -105.93 -4.47 10.0 0.0 5.0 14 77 -169 281 80 -14 -0.198 0.506 -0.308 0.158 -0.166 0.877 328 2 1.067 64 73 -0.131 237 17 -0.936 1.002 24 C201401072309A 
2014/01/08 04:22:10.2 -70.63 -20.75 20.0 0.0 5.7 355 22 92 173 68 89 2.660 0.258 -2.920 0.361 -2.890 0.331 82 67 3.898 173 1 0.291 264 23 -4.192 4.045 24 C201401080422A 
2014/01/08 17:42:25.5 -38.49 33.70 10.0 0.0 4.7 283 69 6 191 85 159 -0.356 1.010 -0.658 -0.713 -0.823 2.050 145 19 2.747 357 68 -0.659 239 11 -2.092 2.419 23 C201401081742A 
2014/01/08 18:15:12.1 123.45 24.61 77.1 0.0 5.3 210 39 144 329 68 56 0.714 0.443 -1.160 -0.545 0.549 0.051 197 54 1.212 343 31 0.117 83 17 -1.331 1.271 24 C201401081815A 
2014/01/08 19:34:32.0 172.75 -20.75 10.0 0.0 4.9 352 58 -169 256 81 -33 -0.586 -0.530 1.120 1.380 0.087 2.170 308 15 2.846 62 56 -0.199 209 29 -2.642 2.744 23 C201401081934A 
2014/01/09 04:31:54.5 142.69 42.04 64.2 0.0 5.0 196 29 81 27 62 95 1.630 -0.097 -1.530 0.572 0.980 -0.690 309 73 1.978 205 4 0.168 113 17 -2.143 2.061 23 C201401090431A 
