date time lon lat dep Mb Ms strike1 dip1 rake1 strike2 dip2 rake2  mrr mtt mpp mrt mrp mtp p_trend p_plu p_eigen b_trend b_plu b_eigen t_trend t_plu t_eigen scale exponent event_name 
2015/01/01 09:42:00.7 163.06 55.29 10.0 0.0 4.8 200 30 75 37 61 99 2.030 -0.418 -1.610 0.889 0.899 -0.902 328 73 2.411 213 7 0.020 121 15 -2.429 2.420 23 C201501010942A 
2015/01/01 09:47:44.0 -111.75 -13.75 10.0 0.0 5.0 277 77 2 187 88 167 -0.598 0.827 -0.228 -0.351 -0.502 2.160 141 10 2.630 360 77 -0.680 233 8 -1.949 2.289 23 C201501010947A 
2015/01/01 10:08:27.7 -111.93 -13.68 10.0 0.0 4.8 275 74 12 182 79 164 -0.263 0.396 -0.133 -0.731 -0.763 2.230 138 19 2.746 328 70 -0.627 229 3 -2.119 2.432 23 C201501011007A 
2015/01/01 12:16:14.6 -125.78 40.44 24.1 0.0 5.3 277 82 179 7 89 8 -0.185 -0.221 0.407 -0.029 0.189 -1.340 232 6 1.486 11 82 -0.193 141 5 -1.291 1.389 24 C201501011216A 
2015/01/01 15:32:20.0 -175.80 -22.81 18.5 0.0 4.9 217 29 107 18 62 81 2.460 -0.307 -2.150 0.379 1.750 -1.250 268 71 3.050 22 8 0.261 115 17 -3.307 3.178 23 C201501011532A 
2015/01/01 16:59:11.6 60.28 6.57 14.9 0.0 4.7 119 30 -108 319 61 -80 -2.180 1.310 0.871 0.660 -1.180 -0.831 42 16 2.305 134 9 0.313 252 72 -2.618 2.461 23 C201501011659A 
2015/01/01 22:20:06.2 120.91 -2.23 35.0 0.0 4.6 39 70 173 131 84 20 -0.103 1.490 -1.390 0.625 -0.152 0.249 356 19 1.717 147 69 -0.274 263 10 -1.446 1.581 23 C201501012220A 
2015/01/02 07:56:49.9 60.22 6.54 10.0 0.0 4.4 136 33 -66 287 61 -105 -4.420 3.340 1.080 2.750 -0.143 -2.210 28 14 5.314 295 13 0.030 164 71 -5.344 5.329 23 C201501020756A 
2015/01/02 08:21:55.9 60.37 6.57 10.0 0.0 5.5 138 31 -63 287 63 -105 -1.670 1.180 0.490 1.180 -0.045 -0.776 28 16 1.981 294 14 0.134 166 69 -2.115 2.048 24 C201501020821A 
2015/01/02 08:25:52.7 60.30 6.45 10.0 0.0 5.4 135 30 -66 288 63 -103 -1.380 0.973 0.406 0.983 -0.114 -0.610 28 17 1.635 294 11 0.105 172 69 -1.742 1.688 24 C201501020825A 
2015/01/02 10:06:20.6 -91.76 -40.90 10.0 0.0 4.6 203 51 -52 332 52 -127 -3.330 -0.609 3.940 2.060 0.036 -0.178 88 0 3.947 357 28 0.494 178 62 -4.440 4.194 23 C201501021006A 
2015/01/02 10:15:33.2 -130.50 50.73 10.0 0.0 5.4 248 73 0 158 90 163 -0.199 -0.679 0.879 0.034 -0.350 0.796 112 12 1.279 338 73 -0.230 204 12 -1.048 1.164 24 C201501021015A 
2015/01/02 11:01:22.9 -104.30 -4.09 10.0 0.0 5.3 7 82 -173 276 83 -8 -0.164 0.325 -0.161 0.110 -0.122 1.070 321 0 1.179 54 79 -0.134 231 11 -1.046 1.113 24 C201501021101A 
2015/01/02 22:07:30.4 -150.62 -56.91 10.0 0.0 5.3 120 38 -76 283 53 -101 -3.820 3.520 0.300 1.180 0.170 -1.500 21 7 4.245 289 9 -0.200 150 79 -4.044 4.145 23 C201501022207A 
2015/01/03 08:03:31.4 123.79 0.01 118.2 0.0 5.0 9 43 136 134 62 56 1.360 0.019 -1.380 1.300 -0.053 0.388 355 58 2.159 151 30 -0.608 247 11 -1.552 1.856 23 C201501030803A 
2015/01/03 08:41:51.0 -178.15 51.59 15.7 0.0 4.8 16 35 -118 229 60 -72 -1.960 0.656 1.300 1.140 0.186 0.374 306 13 1.621 39 16 0.762 178 70 -2.388 2.004 23 C201501030841A 
2015/01/03 12:29:43.7 113.64 56.10 10.0 0.0 4.8 247 45 -37 5 64 -129 -1.320 0.520 0.801 1.060 -1.350 0.978 122 11 1.713 24 35 0.884 227 53 -2.597 2.155 23 C201501031229A 
2015/01/03 12:46:34.3 71.77 37.29 128.4 0.0 4.9 209 40 -103 45 51 -79 -1.680 0.643 1.040 -0.416 -0.082 0.669 128 6 1.570 219 8 0.185 4 80 -1.753 1.662 23 C201501031246A 
2015/01/03 17:44:03.8 -114.11 44.52 10.7 0.0 5.0 110 51 -128 341 53 -53 -3.030 1.490 1.540 -0.846 -1.010 -2.860 45 1 4.377 136 29 -0.629 314 61 -3.748 4.063 23 C201501031744A 
2015/01/03 20:59:57.1 168.78 -17.16 29.2 0.0 5.1 128 82 -6 219 84 -172 -0.075 1.020 -0.946 0.010 0.170 0.211 354 1 1.043 256 80 -0.045 84 10 -0.999 1.021 24 C201501032059A 
2015/01/04 01:49:55.8 -130.45 50.58 10.0 0.0 4.5 251 36 -3 344 88 -126 -0.086 -0.338 0.424 0.776 -1.240 0.955 103 33 1.485 345 36 0.503 222 37 -1.987 1.736 23 C201501040149A 
2015/01/04 05:16:36.4 -94.23 16.45 104.1 0.0 4.9 206 56 -6 299 85 -146 -0.464 -2.120 2.580 1.720 -0.858 -1.720 67 20 3.623 306 55 -0.237 168 27 -3.390 3.506 23 C201501040516A 
2015/01/04 05:51:25.9 130.55 29.27 26.2 0.0 5.1 129 2 16 23 89 92 0.275 -0.064 -0.211 2.910 6.760 0.263 295 46 7.503 203 2 -0.277 111 44 -7.226 7.365 23 C201501040551A 
2015/01/04 14:35:29.2 -150.57 -56.85 10.0 0.0 5.3 283 50 -128 154 53 -53 -5.170 3.420 1.750 1.800 2.780 -3.380 219 2 6.076 310 28 0.893 126 61 -6.969 6.522 23 C201501041435A 
2015/01/04 21:23:15.1 -44.99 14.51 10.0 0.0 5.0 186 42 -81 354 48 -98 -5.180 0.307 4.870 0.573 -0.522 0.007 90 3 4.897 359 6 0.366 207 83 -5.266 5.082 23 C201501042123A 
2015/01/04 22:25:25.7 147.95 45.25 142.0 0.0 4.8 318 37 1 227 89 127 0.158 3.270 -3.430 -2.840 -3.460 -0.690 168 35 5.150 46 37 0.867 286 34 -6.019 5.585 23 C201501042225A 
2015/01/04 23:23:43.6 157.68 -57.91 10.0 0.0 4.9 345 19 105 149 72 85 3.290 -0.292 -3.000 2.450 -3.880 1.470 51 63 5.605 151 5 0.295 243 26 -5.903 5.754 23 C201501042323A 
2015/01/04 23:44:05.4 150.90 -7.02 35.0 0.0 5.1 260 31 -83 72 59 -94 -3.390 2.240 1.150 -1.350 -0.690 0.230 165 14 2.646 74 4 1.130 329 76 -3.776 3.211 23 C201501042344A 
2015/01/05 05:18:51.9 151.31 -4.47 24.7 0.0 5.1 42 74 -172 310 83 -16 -0.360 4.180 -3.820 0.525 -1.090 0.506 357 6 4.258 106 73 -0.076 265 16 -4.183 4.221 23 C201501050518A 
2015/01/05 06:04:31.1 113.62 56.26 10.0 0.0 4.7 212 66 -170 118 81 -24 -0.267 1.390 -1.130 -0.453 0.455 0.742 167 10 1.648 278 64 -0.079 72 24 -1.576 1.612 23 C201501050604A 
2015/01/05 15:16:27.8 142.19 30.61 31.2 0.0 5.3 176 42 90 355 48 90 0.896 0.077 -0.973 -0.012 0.092 0.085 260 87 0.901 355 0 0.084 85 3 -0.984 0.943 24 C201501051516A 
2015/01/05 15:31:18.6 142.03 30.53 27.0 0.0 5.0 160 45 74 2 47 106 2.040 -0.053 -1.990 0.413 0.130 0.320 347 79 2.127 171 11 -0.088 81 1 -2.042 2.085 23 C201501051531A 
2015/01/05 17:48:42.5 171.24 -43.06 8.1 0.0 5.6 355 71 1 264 89 161 -0.246 0.688 -0.442 -0.958 0.125 -2.700 218 14 3.087 80 71 -0.344 311 12 -2.744 2.915 24 C201501051748A 
2015/01/05 21:53:20.8 -17.70 64.64 7.1 0.0 5.0 124 25 -118 335 68 -78 -4.820 3.270 1.550 0.366 -3.910 0.031 55 22 3.488 150 12 3.202 265 65 -6.690 5.089 23 C201501052153A 
2015/01/06 00:14:21.6 164.68 -49.10 31.2 0.0 5.3 32 56 149 140 65 38 0.365 0.389 -0.754 0.399 -0.058 0.085 359 44 0.776 169 46 -0.009 264 5 -0.768 0.772 24 C201501060014A 
2015/01/06 02:11:13.6 -150.49 -56.80 10.0 0.0 5.0 77 41 -115 288 54 -70 -3.530 3.250 0.276 0.743 -1.270 -0.076 4 7 3.346 96 16 0.630 251 73 -3.981 3.663 23 C201501060211A 
2015/01/06 05:54:36.0 -112.23 -29.39 10.0 0.0 4.9 27 76 -3 118 87 -166 -0.487 -4.960 5.450 -1.420 0.539 -3.720 252 8 6.768 129 76 -0.371 343 11 -6.394 6.581 23 C201501060554A 
2015/01/06 16:22:48.0 -14.75 -35.75 10.0 0.0 4.9 170 40 -128 36 59 -62 -2.200 0.452 1.750 -1.690 -0.267 0.078 106 10 1.823 201 24 1.210 354 64 -3.031 2.427 23 C201501061622A 
2015/01/06 22:09:13.2 163.24 55.21 10.0 0.0 5.6 219 29 95 33 61 87 1.580 -0.496 -1.080 0.538 0.893 -0.861 296 74 1.885 34 2 0.118 125 16 -1.999 1.942 24 C201501062209A 
2015/01/07 03:06:45.4 -103.67 -36.32 10.0 0.0 5.2 97 82 176 187 86 8 -0.060 -0.233 0.294 0.067 -0.164 -1.080 52 8 1.166 212 82 -0.082 322 3 -1.084 1.125 25 C201501070306A 
2015/01/07 05:07:07.5 -82.66 5.91 8.0 0.0 6.5 360 85 179 90 89 5 -0.084 0.015 0.069 0.532 0.073 6.040 315 4 6.111 96 85 -0.095 225 3 -6.016 6.064 25 C201501070507A 
2015/01/07 12:27:16.0 146.63 -6.12 54.9 0.0 4.9 91 34 89 273 56 91 3.580 -3.620 0.046 -1.470 0.103 0.138 186 79 3.870 92 1 0.051 2 11 -3.915 3.892 23 C201501071227A 
