date time lon lat dep Mb Ms strike1 dip1 rake1 strike2 dip2 rake2  mrr mtt mpp mrt mrp mtp p_trend p_plu p_eigen b_trend b_plu b_eigen t_trend t_plu t_eigen scale exponent event_name 
2016/01/01 02:00:40.0 139.45 -50.56 10.0 0.0 6.3 88 87 179 178 89 3 -0.333 0.483 -0.150 0.136 -0.215 -4.070 313 1 -3.917 204 87 -0.345 43 3 4.262 4.089 25 C201601010200A 
2016/01/01 15:02:16.7 -177.28 -28.63 34.0 0.0 5.8 194 34 91 12 56 89 3.810 -0.010 -3.800 0.305 1.610 -0.900 103 11 -4.332 12 1 0.192 279 79 4.140 4.236 24 C201601011502A 
2016/01/01 17:15:42.9 -78.77 0.48 27.1 0.0 4.8 305 38 6 210 86 128 0.666 3.230 -3.900 -1.390 -4.190 0.842 270 31 -6.389 28 38 1.567 153 37 4.818 5.603 23 C201601011715A 
2016/01/01 19:23:29.8 -88.89 -41.10 10.0 0.0 4.5 352 77 9 260 82 167 -0.777 1.770 -0.997 -1.330 0.771 -3.980 306 3 -3.834 47 75 -1.175 215 15 5.005 4.420 23 C201601011923A 
2016/01/01 21:49:40.1 158.31 -9.01 14.8 0.0 4.9 295 35 36 175 70 120 1.940 -0.051 -1.880 -0.112 -2.430 2.030 243 20 -3.910 344 28 0.474 122 55 3.445 3.677 23 C201601012149A 
2016/01/01 23:04:52.3 -179.16 -20.57 642.8 0.0 5.0 24 43 171 120 84 48 0.247 0.640 -0.887 0.883 -0.528 0.625 242 27 -1.510 126 42 0.149 354 36 1.361 1.436 24 B201601012304A 
2016/01/02 04:22:19.6 129.94 44.81 585.5 0.0 5.8 355 28 35 233 74 114 2.430 0.800 -3.230 -3.500 -3.660 -4.050 304 25 -8.093 46 23 2.856 172 55 5.237 6.665 24 C201601020422A 
2016/01/02 08:37:22.5 70.93 36.54 189.0 0.0 5.2 292 31 144 54 72 64 0.611 -0.752 0.141 0.491 0.694 -0.027 163 23 -0.976 62 25 -0.211 290 55 1.187 1.081 24 C201601020837A 
2016/01/03 02:01:44.0 -3.75 71.39 10.0 0.0 4.6 196 41 -134 69 62 -58 -1.490 0.687 0.800 -1.020 -0.033 1.460 26 60 -2.010 232 27 -0.343 137 11 2.350 2.180 23 C201601030201A 
2016/01/03 07:36:08.0 -174.99 -17.49 22.2 0.0 4.6 3 33 -61 149 61 -108 -2.450 0.589 1.860 -1.340 0.819 -0.127 23 68 -3.063 158 15 0.938 252 15 2.124 2.594 23 C201601030736A 
2016/01/03 14:39:28.4 142.58 23.11 129.6 0.0 4.8 269 61 157 11 70 31 1.140 -0.889 -0.250 -0.206 0.865 -2.250 138 6 -2.886 40 54 0.617 232 36 2.270 2.578 23 C201601031439A 
2016/01/03 23:05:22.3 93.65 24.81 55.0 0.0 6.7 338 49 165 78 78 42 0.411 -0.853 0.443 0.850 0.378 0.925 202 18 -1.529 91 47 0.049 306 37 1.481 1.505 26 C201601032305A 
2016/01/04 13:53:14.2 128.33 25.92 12.6 0.0 4.9 229 31 100 37 59 84 1.930 -0.925 -1.010 0.497 0.887 -0.792 131 14 -2.009 40 5 -0.197 291 75 2.201 2.105 23 C201601041353A 
2016/01/04 14:36:13.5 121.07 19.14 10.0 0.0 5.2 43 25 -55 186 70 -105 -2.890 -0.320 3.210 0.200 3.650 1.730 73 63 -4.671 192 14 -0.725 288 23 5.396 5.034 23 C201601041436A 
2016/01/05 01:58:19.6 -95.35 15.38 19.1 0.0 5.0 140 35 -121 356 61 -70 -2.350 -0.473 2.830 -0.129 -1.570 -1.360 306 68 -2.900 167 17 -0.758 72 14 3.665 3.282 23 C201601050158A 
2016/01/05 02:21:11.8 132.74 30.61 7.9 0.0 5.8 52 50 -22 157 73 -138 -0.384 -0.443 0.827 -0.050 0.360 0.252 23 41 -0.595 175 45 -0.368 280 14 0.964 0.780 25 C201601050221A 
2016/01/05 05:28:30.3 130.60 -5.96 129.4 0.0 5.2 214 12 130 352 81 82 1.470 -0.058 -1.410 -0.675 4.010 -0.431 89 35 -4.231 354 8 -0.200 253 54 4.433 4.332 23 C201601050528A 
2016/01/05 09:34:14.6 -136.26 -54.29 10.0 0.0 6.0 112 88 -2 202 88 -178 -0.067 0.801 -0.734 -0.011 0.046 0.779 67 3 -1.062 239 87 -0.065 337 0 1.127 1.095 25 C201601050934A 
2016/01/05 20:36:17.6 126.18 10.12 25.4 0.0 5.2 161 47 50 32 56 125 2.590 0.602 -3.200 1.540 0.240 -0.446 98 4 -3.284 191 28 -0.153 0 61 3.429 3.357 23 C201601052036A 
2016/01/05 21:59:50.2 143.61 22.07 158.0 0.0 5.7 330 11 -123 184 81 -84 -1.120 -0.561 1.690 0.266 4.330 -0.332 101 53 -4.312 3 6 -0.518 269 36 4.840 4.576 24 C201601052159A 
2016/01/05 22:05:01.0 -45.68 23.60 10.0 0.0 4.9 277 60 -173 184 84 -30 -1.270 -0.453 1.730 -0.234 2.270 -4.200 137 25 -4.261 354 60 -1.274 234 16 5.543 4.902 23 C201601052205A 
2016/01/06 04:58:56.1 -136.88 -54.22 13.9 0.0 5.3 293 81 -3 24 87 -171 -0.086 0.719 -0.633 -0.022 -0.144 0.629 249 9 -0.900 44 80 -0.071 158 4 0.971 0.936 24 C201601060458A 
2016/01/06 13:18:55.5 -95.24 15.38 10.0 0.0 5.3 220 51 -11 317 81 -140 -1.160 -3.050 4.210 1.800 -2.020 -0.355 187 34 -4.211 328 50 -0.781 83 20 4.992 4.602 23 C201601061318A 
2016/01/07 02:52:35.7 -175.36 51.78 44.4 0.0 5.1 255 31 105 58 60 81 3.820 -3.210 -0.602 1.670 1.500 -1.380 154 15 -4.366 62 8 -0.107 305 73 4.481 4.423 23 C201601070252A 
2016/01/07 04:27:57.6 -98.72 36.49 4.1 0.0 4.7 313 82 4 222 86 172 -0.474 2.070 -1.590 -0.380 -0.070 0.183 267 3 -1.602 15 81 -0.528 177 8 2.135 1.868 23 C201601070428A 
2016/01/07 10:50:31.4 -15.95 -1.08 10.0 0.0 5.1 358 45 -84 170 45 -96 -4.750 0.232 4.510 -0.352 -0.019 -0.476 355 86 -4.775 174 4 0.205 264 0 4.562 4.669 23 C201601071050A 
2016/01/07 15:40:42.9 -74.09 -41.67 22.6 0.0 5.0 13 24 98 184 66 86 4.350 -0.058 -4.290 -0.156 -3.970 -0.678 277 21 -5.918 186 3 0.021 87 69 5.899 5.908 23 C201601071540A 
2016/01/07 20:23:39.7 155.32 49.37 73.3 0.0 5.2 199 44 41 77 63 126 2.510 -1.910 -0.604 1.530 0.375 -3.340 142 11 -4.933 238 32 1.723 35 56 3.206 4.070 23 C201601072023A 
2016/01/08 01:12:01.0 -71.64 -30.66 24.2 0.0 5.7 1 29 97 174 62 86 4.070 0.205 -4.280 0.433 -2.700 0.209 266 17 -5.097 175 3 0.198 75 73 4.894 4.995 24 C201601080112A 
2016/01/08 05:08:56.1 68.10 -2.36 10.0 0.0 4.8 129 76 -170 37 81 -14 -0.666 -2.380 3.050 -0.548 -0.266 -0.671 352 16 -2.631 184 73 -0.507 83 3 3.142 2.887 23 C201601080508A 
2016/01/08 09:07:09.4 70.97 36.60 223.1 0.0 5.0 79 54 2 348 89 144 -0.173 -2.900 3.070 -0.291 5.260 6.520 39 23 -8.429 166 54 -0.879 298 26 9.304 8.867 23 C201601080907A 
2016/01/08 13:29:04.0 -13.75 -30.75 10.0 0.0 5.1 321 43 -121 181 54 -65 -3.390 0.733 2.650 1.400 1.150 -0.872 147 69 -4.095 345 20 1.040 253 6 3.048 3.571 23 C201601081329A 
2016/01/08 14:05:58.2 166.36 -11.48 68.4 0.0 4.7 169 43 92 347 47 88 5.440 -0.266 -5.180 -0.173 0.262 1.080 78 2 -5.415 348 1 -0.042 220 88 5.450 5.433 23 C201601081406A 
2016/01/08 14:45:28.9 -111.76 -29.05 14.9 0.0 4.9 95 77 -180 5 90 -13 -0.720 -0.850 1.570 0.085 -1.520 -6.640 319 9 -6.534 184 77 -0.763 51 9 7.297 6.915 23 C201601081445A 
2016/01/08 21:54:51.3 -107.18 18.79 10.0 0.0 5.3 131 75 170 224 81 15 0.381 -1.160 0.780 -0.098 -0.145 -0.101 357 4 -1.172 255 72 0.344 88 18 0.829 1.001 24 C201601082154A 
2016/01/08 22:21:31.4 117.69 -9.44 74.5 0.0 5.4 334 33 100 143 58 84 4.060 -0.881 -3.180 1.410 -1.510 2.330 237 13 -5.080 146 5 0.531 34 76 4.548 4.814 23 C201601082221A 
2016/01/09 01:46:26.2 -117.95 -49.59 10.0 0.0 4.8 173 77 -173 81 83 -13 -0.084 -0.220 0.303 -0.230 0.070 0.944 37 14 -0.994 235 75 -0.034 128 4 1.027 1.011 24 C201601090146A 
2016/01/09 14:12:36.5 129.61 27.92 19.1 0.0 5.4 251 29 37 127 73 114 1.070 -1.380 0.307 1.010 -1.170 0.202 199 24 -1.922 300 23 -0.151 68 56 2.070 1.996 24 C201601091412A 
2016/01/09 20:06:17.4 121.39 -49.17 10.0 0.0 4.5 9 62 -10 103 81 -152 -0.192 -1.500 1.690 -2.440 -0.567 -3.700 329 26 -5.083 119 61 0.761 233 13 4.320 4.701 23 C201601092006A 
2016/01/09 20:11:32.0 121.58 -49.20 10.0 0.0 4.6 14 80 7 283 83 170 -0.260 -2.150 2.410 -0.782 0.932 -4.390 329 2 -4.824 70 78 -0.511 238 12 5.335 5.080 23 C201601092011A 
2016/01/10 00:37:44.0 -92.50 -38.50 10.0 0.0 4.9 173 27 -137 44 72 -70 -1.490 0.268 1.220 -1.650 -0.624 -0.242 341 58 -2.595 217 19 1.178 118 25 1.415 2.005 23 C201601100037A 
2016/01/10 01:40:41.1 153.80 -4.79 101.7 0.0 4.5 180 45 128 312 57 58 1.980 0.315 -2.300 -0.837 0.237 1.550 64 7 -3.085 331 26 0.714 167 63 2.366 2.726 23 C201601100140A 
2016/01/10 01:53:45.2 136.38 -3.96 38.4 0.0 4.7 283 71 2 192 88 161 -0.072 0.791 -0.718 -0.252 -0.599 1.670 239 12 -1.874 7 71 -0.135 146 15 2.010 1.942 23 C201601100153A 
2016/01/10 04:36:38.9 -72.66 -36.38 39.9 0.0 4.8 37 41 77 235 50 102 2.580 -1.340 -1.240 -0.567 -0.016 -1.530 316 4 -2.853 47 9 0.181 200 80 2.672 2.763 23 C201601100436A 
2016/01/10 09:09:13.1 154.52 -6.79 10.0 0.0 4.8 310 30 80 142 61 96 3.210 -1.650 -1.560 0.809 -1.500 0.695 228 16 -2.752 319 5 -0.956 67 74 3.708 3.230 23 C201601100909A 
2016/01/10 12:12:02.4 -147.95 -57.66 4.0 0.0 5.6 295 81 -1 25 89 -171 -0.421 3.370 -2.950 -0.300 -0.526 2.580 251 6 -3.914 30 81 -0.421 160 6 4.334 4.124 24 C201601101212A 
